object_id,name,description,type,project_stage,year_implemented,partners,idea_description,collector,source,photos,need_volunteers,need_funding,need_site_access,need_design,need_materials,need_volunteers_2,need_funding_2,need_materials_2,need_tools2,address,location,latitude,longitude
0050M00157000000,Kincaid Street Community Garden,"Kincaid Street Community Garden was started as a partnership between PULSE and Garfield Community Action Team (GCAT). The gathering space and 38 raised garden plots are used by Garfield neighbors and friends to grow food and community. There is also a Little Free Library on site, created by Garfield kids at Assemble. ",Food Garden,A project that has been implemented ,2011,"GCAT, PULSE, Assemble",,Lydia,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-unknown-location-fl90sto.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-unknown-location-fmb0sph.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-unknown-location-fla0sff.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown Location,Pittsburgh,40.46597976,-79.93490832
0050M00167000000,Kincaid Street Community Garden,"Kincaid Street Community Garden was started as a partnership between PULSE and Garfield Community Action Team (GCAT). The gathering space and 38 raised garden plots are used by Garfield neighbors and friends to grow food and community. There is also a Little Free Library on site, created by Garfield kids at Assemble. ",Food Garden,A project that has been implemented ,2011,"GCAT, PULSE, Assemble",,Lydia,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-5409--kincaid-st-pittsburgh-f2c0sgf.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-5409--kincaid-st-pittsburgh-f4d0s6d.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-5409--kincaid-st-pittsburgh-f4e0s8o.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5409  KINCAID ST PITTSBURGH,Pittsburgh,40.466375,-79.93485857
0050M00158000000,Kincaid Street Community Garden,"Kincaid Street Community Garden was started as a partnership between PULSE and Garfield Community Action Team (GCAT). The gathering space and 38 raised garden plots are used by Garfield neighbors and friends to grow food and community. There is also a Little Free Library on site, created by Garfield kids at Assemble. ",Food Garden,A project that has been implemented ,2011,"GCAT, PULSE, Assemble",,Lydia,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-unknown-location-ftg0slz.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-unknown-location-flf0s5a.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-unknown-location-fuh0soo.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown Location,Pittsburgh,40.46599004,-79.93498374
0050M00169000000,Kincaid Street Community Garden,"Kincaid Street Community Garden was started as a partnership between PULSE and Garfield Community Action Team (GCAT). The gathering space and 38 raised garden plots are used by Garfield neighbors and friends to grow food and community. There is also a Little Free Library on site, created by Garfield kids at Assemble. ",Food Garden,A project that has been implemented ,2011,"GCAT, PULSE, Assemble",,Lydia,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-unknown-location-u8c0wfq.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-unknown-location-u8e0wxa.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-unknown-location-u8d0w3g.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown Location,Pittsburgh,40.46637263,-79.93472633
0382A00112000000,,,Not specified,An idea for a lot,,,"Ambassador: Julie ReClaim McKeesport is a program of GTECH Strategies. For more information, please visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/",GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-6-unknown-location-y710jeo.pdf | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-6-unknown-location-x800jrk.png,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Unknown Location,Unknown,40.3448049,-79.86512278
0382A00112000000,,,Not specified,An idea for a lot,,,"Bee & Butterfly Trail Garden. This site's proximity to the Great Allegheny Passage makes it ideal for a garden full of Pennsylvania native plants that attract birds, bees and other wildlife. This site is ReClaim Ambassador Julie's project. ReClaim McKeesport is a program of GTECH Strategies. For more information, please visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/",GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-6-unknown-location-j350jjm.pdf | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-6-unknown-location-j240jaa.png,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Unknown Location,Unknown,40.3448049,-79.86512278
0382A00112000000,Bee & Butterfly Trail Garden,"This site's proximity to the Great Allegheny Passage makes it ideal for a garden full of Pennsylvania native plants that attract birds, bees and other wildlife. This site is ReClaim Ambassador Julie's project. ReClaim McKeesport is a program of GTECH Strategies. For more information, please visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/",Not specified,A project that is in progress ,,,,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-unknown-location-fx70bsb.JPG | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-unknown-location-fx60bwl.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-unknown-location-fx80bv1.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Unknown Location,Unknown,40.3448049,-79.86512278
0382A00112000000,Great Allegheny Passage Trail Garden,ReClaim McKeesport Ambassador Julie created a trail garden full of bee-and-butterfly-attracting plants! ,Trail Pathway,A project that has been implemented ,2015,"Youth CAST, McKeesport Trail Commission",,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-10-5-unknown-location-56q0ch1.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown Location,McKeesport,40.3448049,-79.86512278
0382A00110000000,,,Not specified,An idea for a lot,,,"Ambassador: Julie ReClaim McKeesport is a program of GTECH Strategies. For more information, please visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/",GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-6-unknown-location-sr003hu.png | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-6-unknown-location-t5103bo.pdf,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Unknown Location,Unknown,40.34460236,-79.8650469
0382A00110000000,,,Not specified,An idea for a lot,,,"Bee & Butterfly Trail Garden. This site's proximity to the Great Allegheny Passage makes it ideal for a garden full of Pennsylvania native plants that attract birds, bees and other wildlife. This site is ReClaim Ambassador Julie's project. ReClaim McKeesport is a program of GTECH Strategies. For more information, please visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/",GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-6-unknown-location-bt30jn5.pdf | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-6-unknown-location-bt20jp7.png,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Unknown Location,Unknown,40.34460236,-79.8650469
